Date,Order ID,Customer ID,Product Category,Customer Segment,Sales Amount,Quantity Sold,Discount Applied,Marketing Channel
2023-10-08 19:10:13.648263,ORD000000,CUST00000,Electronics,Returning Customer,354.94,4,0.29,Social Media
2024-02-19 19:10:13.648263,ORD000001,CUST00001,Books,VIP Customer,68.5,1,0.05,Direct
2023-10-13 19:10:13.648263,ORD000002,CUST00002,Books,Returning Customer,401.7,1,0.25,Referral
2024-04-03 19:10:13.648263,ORD000003,CUST00003,Books,New Customer,138.4,4,0.06,Social Media
2024-06-24 19:10:13.648263,ORD000004,CUST00004,Home & Kitchen,Returning Customer,122.54,4,0.21,Email
2024-07-19 19:10:13.648263,ORD000005,CUST00005,Clothing,VIP Customer,58.0,1,0.09,Direct
2024-06-04 19:10:13.648263,ORD000006,CUST00006,Books,Returning Customer,208.18,2,0.13,Referral
2024-04-19 19:10:13.648263,ORD000007,CUST00007,Toys,VIP Customer,50.54,2,0.11,Email
2024-03-04 19:10:13.648263,ORD000008,CUST00008,Sports,New Customer,392.06,3,0.15,Email
2024-01-09 19:10:13.648263,ORD000009,CUST00009,Electronics,New Customer,111.05,3,0.19,Referral
2023-09-11 19:10:13.648263,ORD000010,CUST00010,Electronics,VIP Customer,211.15,1,0.24,Social Media
2024-03-07 19:10:13.648263,ORD000011,CUST00011,Books,Returning Customer,299.45,3,0.24,Social Media
2023-11-18 19:10:13.648263,ORD000012,CUST00012,Electronics,VIP Customer,21.88,1,0.14,Social Media
2024-06-14 19:10:13.648263,ORD000013,CUST00013,Sports,VIP Customer,264.99,2,0.1,Direct
2024-06-10 19:10:13.648263,ORD000014,CUST00014,Toys,VIP Customer,154.65,4,0.23,Direct
2024-01-13 19:10:13.648263,ORD000015,CUST00015,Sports,New Customer,322.82,1,0.25,Direct
2024-03-29 19:10:13.648263,ORD000016,CUST00016,Home & Kitchen,VIP Customer,218.16,4,0.23,Social Media
2024-05-23 19:10:13.648263,ORD000017,CUST00017,Home & Kitchen,VIP Customer,92.69,3,0.1,Social Media
2024-05-30 19:10:13.648263,ORD000018,CUST00018,Books,New Customer,52.86,2,0.01,Social Media
2024-05-07 19:10:13.648263,ORD000019,CUST00019,Books,Returning Customer,31.71,3,0.14,Social Media
2023-10-01 19:10:13.648263,ORD000020,CUST00020,Electronics,VIP Customer,55.97,4,0.16,Social Media
2023-10-14 19:10:13.648263,ORD000021,CUST00021,Clothing,New Customer,383.1,2,0.13,Referral
2024-02-17 19:10:13.648263,ORD000022,CUST00022,Clothing,Returning Customer,242.39,2,0.07,Social Media
2023-11-19 19:10:13.648263,ORD000023,CUST00023,Toys,Returning Customer,48.55,3,0.15,Referral
2024-07-05 19:10:13.648263,ORD000024,CUST00024,Clothing,Returning Customer,265.05,1,0.2,Referral
2023-12-08 19:10:13.648263,ORD000025,CUST00025,Books,Returning Customer,147.48,4,0.04,Email
2024-07-12 19:10:13.648263,ORD000026,CUST00026,Clothing,VIP Customer,122.5,2,0.2,Email
2024-01-23 19:10:13.648263,ORD000027,CUST00027,Electronics,New Customer,26.88,2,0.1,Direct
2023-11-03 19:10:13.648263,ORD000028,CUST00028,Toys,New Customer,434.33,3,0.16,Email
2024-05-11 19:10:13.648263,ORD000029,CUST00029,Home & Kitchen,New Customer,328.04,1,0.15,Direct
2024-06-10 19:10:13.648263,ORD000030,CUST00030,Toys,New Customer,25.46,2,0.08,Referral
2024-03-24 19:10:13.648263,ORD000031,CUST00031,Books,VIP Customer,401.48,3,0.26,Email
2023-10-09 19:10:13.648263,ORD000032,CUST00032,Electronics,Returning Customer,468.87,4,0.18,Email
2023-08-29 19:10:13.648263,ORD000033,CUST00033,Clothing,VIP Customer,471.9,1,0.08,Social Media
2024-04-21 19:10:13.648263,ORD000034,CUST00034,Clothing,Returning Customer,283.33,3,0.23,Direct
2024-05-04 19:10:13.648263,ORD000035,CUST00035,Home & Kitchen,Returning Customer,468.24,4,0.29,Referral
2023-12-20 19:10:13.648263,ORD000036,CUST00036,Toys,Returning Customer,27.03,3,0.01,Social Media
2024-01-06 19:10:13.648263,ORD000037,CUST00037,Sports,VIP Customer,379.68,2,0.16,Referral
2023-10-22 19:10:13.648263,ORD000038,CUST00038,Toys,New Customer,345.45,1,0.11,Direct
2024-04-20 19:10:13.648263,ORD000039,CUST00039,Books,Returning Customer,46.2,3,0.03,Social Media
2023-11-27 19:10:13.648263,ORD000040,CUST00040,Home & Kitchen,New Customer,412.23,4,0.1,Email
2024-07-04 19:10:13.648263,ORD000041,CUST00041,Books,VIP Customer,236.6,1,0.04,Direct
2024-01-28 19:10:13.648263,ORD000042,CUST00042,Sports,VIP Customer,332.67,2,0.17,Email
2024-01-07 19:10:13.648263,ORD000043,CUST00043,Books,Returning Customer,213.66,2,0.04,Email
2023-12-05 19:10:13.648263,ORD000044,CUST00044,Home & Kitchen,New Customer,405.52,2,0.25,Social Media
2024-05-01 19:10:13.648263,ORD000045,CUST00045,Toys,Returning Customer,223.97,1,0.14,Referral
2024-05-28 19:10:13.648263,ORD000046,CUST00046,Home & Kitchen,VIP Customer,155.49,4,0.05,Social Media
2024-01-24 19:10:13.648263,ORD000047,CUST00047,Toys,VIP Customer,299.61,4,0.02,Social Media
2024-06-08 19:10:13.648263,ORD000048,CUST00048,Sports,Returning Customer,442.35,1,0.22,Referral
2024-02-19 19:10:13.648263,ORD000049,CUST00049,Clothing,VIP Customer,363.8,4,0.02,Email
2024-01-09 19:10:13.648263,ORD000050,CUST00050,Toys,Returning Customer,91.71,1,0.05,Direct
2024-03-16 19:10:13.648263,ORD000051,CUST00051,Clothing,VIP Customer,469.76,1,0.08,Email
2023-11-27 19:10:13.648263,ORD000052,CUST00052,Books,New Customer,308.77,3,0.28,Referral
2023-12-16 19:10:13.648263,ORD000053,CUST00053,Clothing,VIP Customer,197.32,4,0.23,Referral
2023-12-30 19:10:13.648263,ORD000054,CUST00054,Toys,New Customer,366.91,1,0.12,Email
2024-05-10 19:10:13.648263,ORD000055,CUST00055,Toys,VIP Customer,160.18,2,0.07,Referral
2024-05-21 19:10:13.648263,ORD000056,CUST00056,Sports,New Customer,298.7,4,0.16,Social Media
2024-07-04 19:10:13.648263,ORD000057,CUST00057,Home & Kitchen,New Customer,133.43,4,0.3,Email
2024-04-23 19:10:13.648263,ORD000058,CUST00058,Sports,New Customer,32.81,3,0.25,Social Media
2024-05-25 19:10:13.648263,ORD000059,CUST00059,Clothing,New Customer,377.14,4,0.1,Referral
2024-02-06 19:10:13.648263,ORD000060,CUST00060,Electronics,New Customer,317.44,1,0.05,Social Media
2024-05-08 19:10:13.648263,ORD000061,CUST00061,Sports,VIP Customer,36.29,4,0.09,Direct
2023-10-25 19:10:13.648263,ORD000062,CUST00062,Books,VIP Customer,276.97,2,0.16,Direct
2023-11-13 19:10:13.648263,ORD000063,CUST00063,Sports,New Customer,487.89,2,0.18,Referral
2024-01-20 19:10:13.648263,ORD000064,CUST00064,Books,VIP Customer,475.47,1,0.04,Referral
2023-12-28 19:10:13.648263,ORD000065,CUST00065,Home & Kitchen,VIP Customer,279.64,4,0.04,Social Media
2024-03-14 19:10:13.648263,ORD000066,CUST00066,Books,New Customer,172.65,4,0.06,Direct
2024-05-07 19:10:13.648263,ORD000067,CUST00067,Sports,New Customer,483.77,1,0.17,Direct
2024-05-10 19:10:13.648263,ORD000068,CUST00068,Toys,VIP Customer,323.05,1,0.04,Referral
2023-10-24 19:10:13.648263,ORD000069,CUST00069,Toys,Returning Customer,357.56,1,0.12,Direct
2024-08-13 19:10:13.648263,ORD000070,CUST00070,Clothing,New Customer,383.3,4,0.21,Social Media
2023-08-28 19:10:13.648263,ORD000071,CUST00071,Electronics,New Customer,113.24,1,0.04,Social Media
2023-09-29 19:10:13.648263,ORD000072,CUST00072,Home & Kitchen,New Customer,289.4,4,0.26,Social Media
2023-10-19 19:10:13.648263,ORD000073,CUST00073,Home & Kitchen,New Customer,287.64,1,0.18,Referral
2024-07-29 19:10:13.648263,ORD000074,CUST00074,Clothing,VIP Customer,256.93,3,0.05,Social Media
2024-02-01 19:10:13.648263,ORD000075,CUST00075,Home & Kitchen,VIP Customer,118.57,3,0.01,Referral
2023-09-19 19:10:13.648263,ORD000076,CUST00076,Sports,VIP Customer,363.59,4,0.22,Direct
2023-11-15 19:10:13.648263,ORD000077,CUST00077,Clothing,VIP Customer,413.94,3,0.25,Social Media
2023-09-25 19:10:13.648263,ORD000078,CUST00078,Clothing,New Customer,316.09,2,0.11,Email
2023-09-09 19:10:13.648263,ORD000079,CUST00079,Electronics,VIP Customer,469.88,3,0.19,Social Media
2024-01-14 19:10:13.648263,ORD000080,CUST00080,Toys,New Customer,84.53,3,0.09,Direct
2024-08-20 19:10:13.648263,ORD000081,CUST00081,Toys,Returning Customer,336.66,2,0.2,Referral
2024-04-07 19:10:13.648263,ORD000082,CUST00082,Sports,New Customer,214.17,1,0.28,Referral
2024-03-04 19:10:13.648263,ORD000083,CUST00083,Home & Kitchen,VIP Customer,170.89,3,0.21,Direct
2024-05-12 19:10:13.648263,ORD000084,CUST00084,Electronics,VIP Customer,69.24,3,0.13,Direct
2024-04-01 19:10:13.648263,ORD000085,CUST00085,Home & Kitchen,VIP Customer,198.68,4,0.25,Referral
2024-08-06 19:10:13.648263,ORD000086,CUST00086,Books,Returning Customer,314.79,2,0.04,Direct
2024-06-21 19:10:13.648263,ORD000087,CUST00087,Clothing,New Customer,173.11,2,0.19,Direct
2024-04-16 19:10:13.648263,ORD000088,CUST00088,Sports,Returning Customer,119.27,1,0.02,Referral
2024-02-03 19:10:13.648263,ORD000089,CUST00089,Toys,VIP Customer,298.6,4,0.14,Direct
2023-11-08 19:10:13.648263,ORD000090,CUST00090,Books,New Customer,38.26,2,0.01,Direct
2024-04-22 19:10:13.648263,ORD000091,CUST00091,Toys,Returning Customer,248.85,3,0.13,Email
2024-06-15 19:10:13.648263,ORD000092,CUST00092,Electronics,New Customer,312.54,4,0.24,Direct
2023-12-09 19:10:13.648263,ORD000093,CUST00093,Sports,Returning Customer,87.39,1,0.3,Email
2023-09-08 19:10:13.648263,ORD000094,CUST00094,Toys,New Customer,296.53,1,0.05,Direct
2024-04-01 19:10:13.648263,ORD000095,CUST00095,Sports,New Customer,100.46,3,0.15,Direct
2024-03-02 19:10:13.648263,ORD000096,CUST00096,Toys,New Customer,455.39,3,0.1,Email
2023-11-19 19:10:13.648263,ORD000097,CUST00097,Electronics,New Customer,371.54,3,0.18,Direct
2023-10-27 19:10:13.648263,ORD000098,CUST00098,Toys,VIP Customer,299.74,4,0.05,Email
2023-09-09 19:10:13.648263,ORD000099,CUST00099,Home & Kitchen,Returning Customer,344.4,2,0.22,Social Media
2023-11-22 19:10:13.648263,ORD000100,CUST00100,Toys,VIP Customer,340.96,4,0.04,Referral
2023-08-27 19:10:13.648263,ORD000101,CUST00101,Books,New Customer,138.29,1,0.19,Email
2023-10-23 19:10:13.648263,ORD000102,CUST00102,Electronics,New Customer,362.49,4,0.16,Referral
